label,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,idsubdatatable,segment
703@statistisches-amt-kanton-zuerich,5,6,5,0.534,0.534,27,0,2,5,5,0%,40%,0.107,45,dimension9==703%40statistisches-amt-kanton-zuerich
5@statistisches-amt-kanton-zuerich,4,6,4,0.027999999999999997,0.028999999999999998,255,0,1,3,43,0%,25%,0.01,172,dimension9==5%40statistisches-amt-kanton-zuerich
91@statistisches-amt-kanton-zuerich,4,4,2,0.282,0.282,53,0,0,4,13,0%,0%,0.141,68,dimension9==91%40statistisches-amt-kanton-zuerich
102@statistisches-amt-kanton-zuerich,4,5,4,0.417,0.43399999999999994,695,0,0,4,139,0%,0%,0.148,149,dimension9==102%40statistisches-amt-kanton-zuerich
119@statistisches-amt-kanton-zuerich,4,5,4,0.11,0.11,58,0,0,4,12,0%,0%,0.028,92,dimension9==119%40statistisches-amt-kanton-zuerich
124@statistisches-amt-kanton-zuerich,4,6,4,0.08800000000000001,0.08800000000000001,399,0,1,4,67,0%,25%,0.022,187,dimension9==124%40statistisches-amt-kanton-zuerich
202@statistisches-amt-kanton-zuerich,4,5,4,0.6819999999999999,0.6819999999999999,500,0,0,4,100,0%,0%,0.171,105,dimension9==202%40statistisches-amt-kanton-zuerich
218@statistisches-amt-kanton-zuerich,4,6,5,0.069,0.069,484,0,1,4,81,0%,25%,0.019,43,dimension9==218%40statistisches-amt-kanton-zuerich
233@statistisches-amt-kanton-zuerich,4,4,2,0.832,0.832,1624,0,0,4,406,0%,0%,0.416,163,dimension9==233%40statistisches-amt-kanton-zuerich
255@statistisches-amt-kanton-zuerich,4,5,4,0.019,0.019,39,0,0,4,8,0%,0%,0.005,35,dimension9==255%40statistisches-amt-kanton-zuerich
270@statistisches-amt-kanton-zuerich,4,6,4,0.182,0.182,67,0,1,4,11,0%,25%,0.046,93,dimension9==270%40statistisches-amt-kanton-zuerich
290@statistisches-amt-kanton-zuerich,4,5,3,0.431,0.86,170,0,0,4,34,0%,0%,0.287,161,dimension9==290%40statistisches-amt-kanton-zuerich
307@statistisches-amt-kanton-zuerich,4,5,4,0.32,0.32,270,0,3,4,54,0%,75%,0.08,130,dimension9==307%40statistisches-amt-kanton-zuerich
410@statistisches-amt-kanton-zuerich,4,8,5,0.125,0.125,117,0,1,4,15,0%,25%,0.042,160,dimension9==410%40statistisches-amt-kanton-zuerich
593@statistisches-amt-kanton-zuerich,4,4,2,1.432,1.432,8,0,1,4,2,0%,25%,0.716,169,dimension9==593%40statistisches-amt-kanton-zuerich
615@statistisches-amt-kanton-zuerich,4,5,4,0.9970000000000001,0.9970000000000001,629,0,0,4,126,0%,0%,0.249,78,dimension9==615%40statistisches-amt-kanton-zuerich
618@statistisches-amt-kanton-zuerich,4,6,4,0.29,0.29,380,0,1,4,63,0%,25%,0.073,116,dimension9==618%40statistisches-amt-kanton-zuerich
619@statistisches-amt-kanton-zuerich,4,5,4,0.603,0.748,187,0,0,4,37,0%,0%,0.193,102,dimension9==619%40statistisches-amt-kanton-zuerich
663@statistisches-amt-kanton-zuerich,4,8,5,0.23,0.23,40,0,2,4,5,0%,50%,0.049,7,dimension9==663%40statistisches-amt-kanton-zuerich
668@statistisches-amt-kanton-zuerich,4,7,5,0.056,0.056,50,0,0,4,7,0%,0%,0.012,190,dimension9==668%40statistisches-amt-kanton-zuerich
700@fachstelle-ogd-kanton-zuerich,4,4,4,1.085,1.085,729,0,1,4,182,0%,25%,0.271,124,dimension9==700%40fachstelle-ogd-kanton-zuerich
32@statistisches-amt-kanton-zuerich,3,4,2,0.014,0.014,3,0,1,3,1,0%,33%,0.007,114,dimension9==32%40statistisches-amt-kanton-zuerich
35@statistisches-amt-kanton-zuerich,3,4,2,0.13,0.13,124,0,0,3,31,0%,0%,0.065,112,dimension9==35%40statistisches-amt-kanton-zuerich
42@statistisches-amt-kanton-zuerich,3,4,3,0.394,0.394,144,0,0,3,36,0%,0%,0.131,37,dimension9==42%40statistisches-amt-kanton-zuerich
50@statistisches-amt-kanton-zuerich,3,6,4,0.6529999999999999,0.6529999999999999,15,0,2,3,3,0%,67%,0.173,151,dimension9==50%40statistisches-amt-kanton-zuerich
55@statistisches-amt-kanton-zuerich,3,6,5,0.020999999999999998,0.020999999999999998,64,0,1,3,11,0%,33%,0.009,64,dimension9==55%40statistisches-amt-kanton-zuerich
75@statistisches-amt-kanton-zuerich,3,4,3,0.063,0.063,1547,0,0,3,387,0%,0%,0.021,123,dimension9==75%40statistisches-amt-kanton-zuerich
116@statistisches-amt-kanton-zuerich,3,3,3,0.366,0.366,183,0,0,3,61,0%,0%,0.122,108,dimension9==116%40statistisches-amt-kanton-zuerich
195@statistisches-amt-kanton-zuerich,3,3,3,1.1549999999999998,1.1549999999999998,225,0,1,2,75,0%,33%,0.764,147,dimension9==195%40statistisches-amt-kanton-zuerich
245@statistisches-amt-kanton-zuerich,3,4,2,0.11,0.11,603,0,0,3,151,0%,0%,0.055,47,dimension9==245%40statistisches-amt-kanton-zuerich
246@statistisches-amt-kanton-zuerich,3,4,2,0.074,0.074,406,0,0,3,102,0%,0%,0.037,48,dimension9==246%40statistisches-amt-kanton-zuerich
249@statistisches-amt-kanton-zuerich,3,4,3,0.10800000000000001,0.10800000000000001,763,0,0,3,191,0%,0%,0.036,46,dimension9==249%40statistisches-amt-kanton-zuerich
263@statistisches-amt-kanton-zuerich,3,5,3,0.02,0.09599999999999999,346,0,0,3,69,0%,0%,0.035,138,dimension9==263%40statistisches-amt-kanton-zuerich
